"","cod_mun","mun","cod_drs","drs","cod_rras","rras","cod_reg_saude","reg_saude"
"266",350010,"Adamantina",3509,"Marília",3510,"RRAS 10",35091,"Adamantina"
"540",350020,"Adolfo",3515,"São José do Rio Preto",3512,"RRAS 12",35156,"José Bonifácio"
"447",350030,"Aguaí",3514,"São João da Boa Vista",3515,"RRAS 15",35142,"Mantiqueira"
"441",350040,"Águas da Prata",3514,"São João da Boa Vista",3515,"RRAS 15",35142,"Mantiqueira"
"237",350050,"Águas de Lindóia",3507,"Campinas",3515,"RRAS 15",35074,"Circuito das Águas"
"131",350055,"Águas de Santa Bárbara",3506,"Bauru",3509,"RRAS 09",35061,"Vale do Jurumirim"
"344",350060,"Águas de São Pedro",3510,"Piracicaba",3514,"RRAS 14",35103,"Piracicaba"
"162",350070,"Agudos",3506,"Bauru",3509,"RRAS 09",35062,"Bauru"
"566",350075,"Alambari",3516,"Sorocaba",3508,"RRAS 08",35161,"Itapetininga"
"368",350080,"Alfredo Marcondes",3511,"Presidente Prudente",3511,"RRAS 11",35112,"Alta Sorocabana"
"122",350090,"Altair",3505,"Barretos",3513,"RRAS 13",35051,"Norte - Barretos"
"431",350100,"Altinópolis",3513,"Ribeirão Preto",3513,"RRAS 13",35133,"Vale das Cachoeiras"
"79",350110,"Alto Alegre",3502,"Araçatuba",3512,"RRAS 12",35023,"Consórcios do DRS II"
"594",350115,"Alumínio",3516,"Sorocaba",3508,"RRAS 08",35163,"Sorocaba"
"554",350120,"Álvares Florence",3515,"São José do Rio Preto",3512,"RRAS 12",35157,"Votuporanga"
"364",350130,"Álvares Machado",3511,"Presidente Prudente",3511,"RRAS 11",35112,"Alta Sorocabana"
"287",350140,"Álvaro de Carvalho",3509,"Marília",3510,"RRAS 10",35093,"Marília"
"303",350150,"Alvinlândia",3509,"Marília",3510,"RRAS 10",35093,"Marília"
"214",350160,"Americana",3507,"Campinas",3515,"RRAS 15",35072,"Reg Metro Campinas"
